BookRestaurant	 	i need a table at eddie s attic in nevada for one	E
AddToPlaylist	 	can you add last of the ghetto astronauts to the playlist called black sabbath the dio years	E
GetWeather	 	what is the forecast for colder temps beginning on law day here	E
AddToPlaylist	 	add this artist to my electronic bliss playlist	E
GetWeather	 	is there a storm now in nc	E
AddToPlaylist	 	add toyan to my epic gaming playlist 	E
GetWeather	 	will it be rainy in tenino	E
SearchCreativeWork	 	wish to see the photograph with the name live: right here	E
RateBook	 	give this novel a score of 5	E
AddToPlaylist	 	add a very cellular song to masters of metal playlist	E
RateBook	 	rate this album 4 out of 6 stars	E
GetWeather	 	what will the weather be here on dec  7th	E
AddToPlaylist	 	add tierney sutton to my novedades viernes sudamérica playlist	E
SearchCreativeWork	 	wish to find the movie the heart beat	E
GetWeather	 	how s the weather at petit manan national wildlife refuge and nearby right now	E
SearchCreativeWork	 	find me the novel with the name to lose my life …	E
BookRestaurant	 	i want to book a restaurant for my father in law and i in buckner a year from now 	E
RateBook	 	rate hate that cat 1 out of 6 stars 	E
SearchCreativeWork	 	search for the game difficult loves	E
AddToPlaylist	 	add martin barre to my punk unplugged playlist 	E
GetWeather	 	will it be rainy at sunrise in ramey saudi arabia	E
BookRestaurant	 	book a restaurant for six at an outdoor cafe in åland	E
BookRestaurant	 	book me a reservation for a pub in cormorant for a party of nine	E
RateBook	 	give hindu temples: what happened to them a 5 out of 6 stars 	E
SearchCreativeWork	 	please search for the journal of official statistics show 	E
RateBook	 	give the current chronicle five of 6 points	E
RateBook	 	give zero out of 6 stars to this album	E
BookRestaurant	 	book a reservation for nine people at the best pub nearby tangier in six months	E
BookRestaurant	 	book me a reservation for a party of 3 at a pub in northern mariana islands	E
SearchCreativeWork	 	search for appalachian journey	E
SearchCreativeWork	 	please fine me the tv series  now we are married 	E
GetWeather	 	what is the forecast in admire in tx starting at seventeen 	E
BookRestaurant	 	book spot for 4 in somalia	E
GetWeather	 	overcast on state holiday in pawling nature reserve  and neighboring places	E
BookRestaurant	 	book a restaurant reservation in 6 weeks	E
AddToPlaylist	 	put petar georgiev kalica onto the old school hip hop playlist 	E
AddToPlaylist	 	add the song to the mac  n cheese playlist 	E
GetWeather	 	will the sun be out in 1 minute in searcy  uganda	E
AddToPlaylist	 	add abacab to beryl s party on fridays playlist	E
SearchCreativeWork	 	can you get me the controlled conversations tv series	E
SearchCreativeWork	 	look for the television show meet the prince	E
RateBook	 	give wilco: learning how to die a rating of four points 	E
SearchCreativeWork	 	please find me the classified book 	E
RateBook	 	give 4 out of 6 points to the spirit ring chronicle	E
GetWeather	 	what is the weather forecast for burundi	E
BookRestaurant	 	book a reservation for me and my step brother at amt coffee in lakemoor	E
AddToPlaylist	 	add brazilian flag anthem to top 100 alternative tracks on spotify	E
SearchCreativeWork	 	look for the album slave to the grind	E
GetWeather	 	will it be colder in virgin islands national park	E
RateBook	 	rate this book a 1 	E
BookRestaurant	 	i want to book oregon electric station in north city 	E
SearchCreativeWork	 	can you find me the national anthem of the ancient britons television show	E
BookRestaurant	 	i want to book a restaurant for five people in sri lanka 	E
GetWeather	 	will there be a blizzard next winter in visalia  idaho	E
RateBook	 	give my current book one of 6 stars	E
RateBook	 	rate the current series a 4	E
AddToPlaylist	 	add the boy george track to the emo forever playlist 	E
AddToPlaylist	 	add digging now to my young at heart playlist	E
RateBook	 	give this textbook 0 out of 6 stars	E
RateBook	 	rate the current novel zero out of 6	E
BookRestaurant	 	i want to book a jewish restaurant in gambia 	E
GetWeather	 	what is the weather going to be like in virginia on st  patrick s day	E
BookRestaurant	 	i want to book a sundanese gastropub nearby in texas for 3 people on 5/20/2025 	E
AddToPlaylist	 	i need to add to my infinite indie folk list the works of rahim shah	E
SearchCreativeWork	 	can you find me  hey man	E
BookRestaurant	 	book spot for 7 at an indoor restaurant in mp now	E
GetWeather	 	will it be hot at 13:19 in de funiak springs serbia and montenegro	E
AddToPlaylist	 	to the travelling playlist  please add this david gahan song 	E
SearchCreativeWork	 	can you find me the work titled music for millions	E
GetWeather	 	what is the rain forecast for one hour from now in south korea	E
GetWeather	 	tell me the forecast for 6 am in tatra-nationalpark	E
RateBook	 	rate this current novel two out of 6 	E
BookRestaurant	 	i want to book a churrascaria in romeoville at ten a m for four people 	E
BookRestaurant	 	i want to book a joint close by the naomi s hostel for a meal for 8 people 	E
